00:01:07:14 | I | Matching ok | SEQ : 20174780240, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:01:39:39 | I | Matching ok | SEQ : 20174780230, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:02:01:54 | I | Matching ok | SEQ : 20174780220, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:02:16:09 | I | Matching ok | SEQ : 20174780210, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:02:18:11 | I | Matching ok | SEQ : 20174780200, PART : N/A, SCAN N/A, CELL [1,6]
00:02:35:27 | I | Matching ok | SEQ : 20174780310, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:02:37:28 | I | Matching ok | SEQ : 20174780300, PART : N/A, SCAN N/A, CELL [2,2]
00:03:21:04 | I | Matching ok | SEQ : 20174780290, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:03:27:04 | I | Matching ok | SEQ : 20174780280, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:03:32:40 | I | Matching ok | SEQ : 20174780270, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:04:45:42 | I | Matching ok | SEQ : 20174780260, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:14:09:53 | I | Matching ok | SEQ : 20174780370, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:14:23:31 | I | Matching ok | SEQ : 20174780360, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:14:25:32 | I | Matching ok | SEQ : 20174780350, PART : N/A, SCAN N/A, CELL [1,3]
00:14:36:86 | I | Matching ok | SEQ : 20174780340, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:15:06:46 | I | Matching ok | SEQ : 20174780330, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:15:13:51 | I | Matching ok | SEQ : 20174780320, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:15:15:52 | I | Matching ok | SEQ : 20174780430, PART : N/A, SCAN N/A, CELL [2,1]
00:15:17:54 | I | Matching ok | SEQ : 20174780420, PART : N/A, SCAN N/A, CELL [2,2]
00:15:23:83 | I | Matching ok | SEQ : 20174780410, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:15:51:76 | I | Matching ok | SEQ : 20174780400, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:15:56:01 | I | Matching ok | SEQ : 20174780390, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:15:58:03 | I | Matching ok | SEQ : 20174780380, PART : N/A, SCAN N/A, CELL [2,6]
00:25:32:17 | I | Matching ok | SEQ : 20174780490, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:25:36:55 | I | Matching ok | SEQ : 20174780480, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:25:42:38 | I | Matching ok | SEQ : 20174780470, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:25:47:90 | I | Matching ok | SEQ : 20174780460, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:26:09:82 | I | Matching ok | SEQ : 20174780450, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:26:15:23 | I | Matching ok | SEQ : 20174780440, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:26:19:77 | I | Matching ok | SEQ : 20174780550, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:26:36:25 | I | Matching ok | SEQ : 20174780540, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:26:49:90 | W | Mismatching | SEQ : 20174780530, PART : 52124713AD, SCAN TQ41997C0437, CELL [2,3]
00:26:56:45 | I | Matching ok | SEQ : 20174780530, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:27:17:85 | I | Matching ok | SEQ : 20174780520, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:27:26:45 | I | Matching ok | SEQ : 20174780510, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:27:41:13 | I | Matching ok | SEQ : 20174780500, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:50:15:11 | I | Matching ok | SEQ : 20174780610, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:50:24:46 | I | Matching ok | SEQ : 20174780600, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:50:26:48 | I | Matching ok | SEQ : 20174780590, PART : N/A, SCAN N/A, CELL [1,3]
00:50:43:01 | I | Matching ok | SEQ : 20174780580, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:50:48:28 | I | Matching ok | SEQ : 20174780570, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:50:50:30 | I | Matching ok | SEQ : 20174780560, PART : N/A, SCAN N/A, CELL [1,6]
00:50:52:31 | I | Matching ok | SEQ : 20174780670, PART : N/A, SCAN N/A, CELL [2,1]
00:51:27:91 | I | Matching ok | SEQ : 20174780660, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:51:38:26 | I | Matching ok | SEQ : 20174780650, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:51:44:66 | I | Matching ok | SEQ : 20174780640, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:51:53:76 | I | Matching ok | SEQ : 20174780630, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:51:55:78 | I | Matching ok | SEQ : 20174780620, PART : N/A, SCAN N/A, CELL [2,6]
00:51:57:80 | I | Matching ok | SEQ : 20174780730, PART : N/A, SCAN N/A, CELL [1,1]
00:51:59:83 | I | Matching ok | SEQ : 20174780720, PART : N/A, SCAN N/A, CELL [1,2]
01:01:47:35 | I | Matching ok | SEQ : 20174780710, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
01:01:49:39 | I | Matching ok | SEQ : 20174780700, PART : N/A, SCAN N/A, CELL [1,4]
01:01:51:41 | I | Matching ok | SEQ : 20174780690, PART : N/A, SCAN N/A, CELL [1,5]
01:01:53:43 | I | Matching ok | SEQ : 20174780680, PART : N/A, SCAN N/A, CELL [1,6]
01:02:26:13 | I | Matching ok | SEQ : 20174780790, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:02:43:83 | I | Matching ok | SEQ : 20174780780, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:03:05:40 | I | Matching ok | SEQ : 20174780770, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
01:03:07:42 | I | Matching ok | SEQ : 20174780760, PART : N/A, SCAN N/A, CELL [2,4]
01:03:19:80 | W | Mismatching | SEQ : 20174780750, PART : 04578885AC, SCAN P52124713AD, CELL [2,5]
01:03:31:88 | W | Mismatching | SEQ : 20174780750, PART : 04578885AC, SCAN TQ41997C0449, CELL [2,5]
01:03:36:00 | W | Mismatching | SEQ : 20174780750, PART : 04578885AC, SCAN P52124713AD, CELL [2,5]
01:04:11:55 | I | Matching ok | SEQ : 20174780750, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
01:04:15:55 | I | Matching ok | SEQ : 20174780740, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
01:11:18:22 | I | Matching ok | SEQ : 20174780850, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:11:32:64 | I | Matching ok | SEQ : 20174780840, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:11:52:02 | I | Matching ok | SEQ : 20174780830, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:12:25:74 | I | Matching ok | SEQ : 20174780820, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:12:38:20 | I | Matching ok | SEQ : 20174780810, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
01:12:49:69 | I | Matching ok | SEQ : 20174780800, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
01:13:04:19 | I | Matching ok | SEQ : 20174780910, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
01:13:06:20 | I | Matching ok | SEQ : 20174780900, PART : N/A, SCAN N/A, CELL [2,2]
01:13:17:32 | I | Matching ok | SEQ : 20174780890, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:13:30:52 | I | Matching ok | SEQ : 20174780880, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
01:13:43:17 | I | Matching ok | SEQ : 20174780870, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
01:13:54:67 | I | Matching ok | SEQ : 20174780860, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:22:41:41 | I | Matching ok | SEQ : 20174780970, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:22:52:11 | I | Matching ok | SEQ : 20174780960, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:22:54:12 | I | Matching ok | SEQ : 20174780950, PART : N/A, SCAN N/A, CELL [1,3]
01:22:59:83 | I | Matching ok | SEQ : 20174780940, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
