05:18:14:93 | I | Matching ok | SEQ : 20174821760, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
05:18:18:30 | I | Matching ok | SEQ : 20174821750, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
05:18:22:85 | I | Matching ok | SEQ : 20174821740, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
05:18:26:33 | I | Matching ok | SEQ : 20174821730, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
05:18:30:43 | I | Matching ok | SEQ : 20174821720, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
05:18:34:26 | I | Matching ok | SEQ : 20174821830, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
05:18:38:18 | I | Matching ok | SEQ : 20174821820, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
05:18:40:20 | I | Matching ok | SEQ : 20174821810, PART : N/A, SCAN N/A, CELL [2,3]
05:18:44:65 | I | Matching ok | SEQ : 20174821800, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
05:18:48:45 | I | Matching ok | SEQ : 20174821790, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
05:18:50:50 | I | Matching ok | SEQ : 20174821780, PART : N/A, SCAN N/A, CELL [2,6]
05:28:14:54 | I | Matching ok | SEQ : 20174821890, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
05:28:17:39 | I | Matching ok | SEQ : 20174821880, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
05:28:19:42 | I | Matching ok | SEQ : 20174821870, PART : N/A, SCAN N/A, CELL [1,3]
05:28:23:94 | I | Matching ok | SEQ : 20174821860, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
05:28:27:92 | I | Matching ok | SEQ : 20174821850, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
05:28:32:12 | I | Matching ok | SEQ : 20174821840, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
05:28:35:92 | I | Matching ok | SEQ : 20174821950, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
05:28:39:14 | I | Matching ok | SEQ : 20174821940, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
05:28:43:62 | I | Matching ok | SEQ : 20174821930, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
05:28:47:12 | I | Matching ok | SEQ : 20174821920, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
05:28:50:87 | I | Matching ok | SEQ : 20174821910, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
05:28:52:89 | I | Matching ok | SEQ : 20174821900, PART : N/A, SCAN N/A, CELL [2,6]
05:36:11:73 | I | Matching ok | SEQ : 20174822010, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
05:36:16:58 | I | Matching ok | SEQ : 20174822000, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
05:36:19:99 | I | Matching ok | SEQ : 20174821990, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
05:36:24:18 | I | Matching ok | SEQ : 20174821980, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
05:36:26:20 | I | Matching ok | SEQ : 20174821970, PART : N/A, SCAN N/A, CELL [1,5]
05:36:30:73 | I | Matching ok | SEQ : 20174821960, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
05:36:35:15 | I | Matching ok | SEQ : 20174822070, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
05:36:38:98 | I | Matching ok | SEQ : 20174822060, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
05:36:43:68 | I | Matching ok | SEQ : 20174822050, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
05:36:47:33 | I | Matching ok | SEQ : 20174822040, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
05:36:51:03 | I | Matching ok | SEQ : 20174822030, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
05:36:53:05 | I | Matching ok | SEQ : 20174822020, PART : N/A, SCAN N/A, CELL [2,6]
05:51:52:05 | I | Matching ok | SEQ : 20174822130, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
05:51:55:58 | I | Matching ok | SEQ : 20174822120, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
05:51:57:60 | I | Matching ok | SEQ : 20174822110, PART : N/A, SCAN N/A, CELL [1,3]
05:52:00:15 | I | Matching ok | SEQ : 20174822100, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
