00:00:02:05 | I | Matching ok | SEQ : 20174854050, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:00:04:07 | I | Matching ok | SEQ : 20174854040, PART : N/A, SCAN N/A, CELL [1,2]
00:00:08:58 | I | Matching ok | SEQ : 20174854030, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:00:10:59 | I | Matching ok | SEQ : 20174854020, PART : N/A, SCAN N/A, CELL [1,4]
00:00:12:65 | I | Matching ok | SEQ : 20174854010, PART : N/A, SCAN N/A, CELL [1,5]
00:00:17:85 | I | Matching ok | SEQ : 20174854000, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:00:26:13 | I | Matching ok | SEQ : 20174854110, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:00:28:14 | I | Matching ok | SEQ : 20174854100, PART : N/A, SCAN N/A, CELL [2,2]
00:00:40:28 | I | Matching ok | SEQ : 20174854090, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:01:31:63 | I | Matching ok | SEQ : 20174854080, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:01:33:66 | I | Matching ok | SEQ : 20174854070, PART : N/A, SCAN N/A, CELL [2,5]
00:01:42:53 | I | Matching ok | SEQ : 20174854060, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:12:50:95 | I | Matching ok | SEQ : 20174854170, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:12:55:25 | I | Matching ok | SEQ : 20174854160, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:13:00:45 | I | Matching ok | SEQ : 20174854150, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:13:02:45 | I | Matching ok | SEQ : 20174854140, PART : N/A, SCAN N/A, CELL [1,4]
00:13:04:77 | I | Matching ok | SEQ : 20174854130, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:13:10:25 | I | Matching ok | SEQ : 20174854120, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:13:19:62 | I | Matching ok | SEQ : 20174854230, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
