00:09:17:17 | I | Matching ok | SEQ : 20174658450, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:09:40:67 | I | Matching ok | SEQ : 20174658440, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:09:59:10 | I | Matching ok | SEQ : 20174658430, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
00:10:03:55 | I | Matching ok | SEQ : 20174658420, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:10:08:45 | I | Matching ok | SEQ : 20174658410, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:10:24:63 | I | Matching ok | SEQ : 20174658400, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:10:38:25 | I | Matching ok | SEQ : 20174658510, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
00:10:54:77 | I | Matching ok | SEQ : 20174658500, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:11:30:13 | I | Matching ok | SEQ : 20174658490, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:11:34:60 | I | Matching ok | SEQ : 20174658480, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:12:21:78 | I | Matching ok | SEQ : 20174658470, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:12:25:70 | I | Matching ok | SEQ : 20174658460, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:17:56:09 | I | Matching ok | SEQ : 20174658570, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:18:04:26 | I | Matching ok | SEQ : 20174658560, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:18:06:28 | I | Matching ok | SEQ : 20174658550, PART : N/A, SCAN N/A, CELL [1,3]
00:18:17:16 | I | Matching ok | SEQ : 20174658540, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:18:19:18 | I | Matching ok | SEQ : 20174658530, PART : N/A, SCAN N/A, CELL [1,5]
00:18:21:19 | I | Matching ok | SEQ : 20174658520, PART : N/A, SCAN N/A, CELL [1,6]
00:18:23:21 | I | Matching ok | SEQ : 20174658630, PART : N/A, SCAN N/A, CELL [2,1]
00:18:32:46 | I | Matching ok | SEQ : 20174658620, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:19:43:76 | I | Matching ok | SEQ : 20174658610, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
00:20:03:79 | I | Matching ok | SEQ : 20174658600, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:20:22:96 | I | Matching ok | SEQ : 20174658590, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:20:27:29 | I | Matching ok | SEQ : 20174658580, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:28:47:88 | I | Matching ok | SEQ : 20174658690, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:29:04:35 | I | Matching ok | SEQ : 20174658680, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
00:29:22:00 | I | Matching ok | SEQ : 20174658670, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:29:26:48 | I | Matching ok | SEQ : 20174658660, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:29:28:51 | I | Matching ok | SEQ : 20174658650, PART : N/A, SCAN N/A, CELL [1,5]
00:29:54:83 | I | Matching ok | SEQ : 20174658640, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:29:58:88 | I | Matching ok | SEQ : 20174658750, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:30:19:25 | I | Matching ok | SEQ : 20174658740, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:30:29:13 | I | Matching ok | SEQ : 20174658730, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:30:47:35 | I | Matching ok | SEQ : 20174658720, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:31:10:93 | I | Matching ok | SEQ : 20174658710, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
00:31:12:95 | I | Matching ok | SEQ : 20174658700, PART : N/A, SCAN N/A, CELL [2,6]
00:39:54:67 | I | Matching ok | SEQ : 20174658810, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:40:38:07 | I | Matching ok | SEQ : 20174658800, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:40:56:24 | I | Matching ok | SEQ : 20174658790, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
00:40:58:28 | I | Matching ok | SEQ : 20174658780, PART : N/A, SCAN N/A, CELL [1,4]
00:41:08:39 | I | Matching ok | SEQ : 20174658770, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:41:20:55 | I | Matching ok | SEQ : 20174658760, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:41:44:97 | I | Matching ok | SEQ : 20174658870, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
00:42:01:62 | I | Matching ok | SEQ : 20174658860, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
