00:04:11:35 | I | Matching ok | SEQ : 20174865930, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:04:14:85 | I | Matching ok | SEQ : 20174865920, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:04:45:08 | I | Matching ok | SEQ : 20174865910, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:04:49:02 | I | Matching ok | SEQ : 20174865900, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:04:55:67 | I | Matching ok | SEQ : 20174865890, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:04:59:89 | I | Matching ok | SEQ : 20174865880, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:05:01:90 | I | Matching ok | SEQ : 20174865990, PART : N/A, SCAN N/A, CELL [2,1]
00:05:05:85 | I | Matching ok | SEQ : 20174865980, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:05:09:50 | I | Matching ok | SEQ : 20174865970, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:05:17:67 | I | Matching ok | SEQ : 20174865960, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:05:21:90 | I | Matching ok | SEQ : 20174865950, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:05:23:90 | I | Matching ok | SEQ : 20174865940, PART : N/A, SCAN N/A, CELL [2,6]
00:05:26:07 | I | Matching ok | SEQ : 20174866050, PART : N/A, SCAN N/A, CELL [1,1]
00:14:28:63 | W | Mismatching | SEQ : 20174866040, PART : 52124713AD, SCAN P52124712AD, CELL [1,2]
00:14:57:26 | W | Mismatching | SEQ : 20174866040, PART : 52124713AD, SCAN P52124712AD, CELL [1,2]
00:17:22:81 | I | Matching ok | SEQ : 20174866040, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:17:24:83 | I | Matching ok | SEQ : 20174866030, PART : N/A, SCAN N/A, CELL [1,3]
00:17:26:84 | I | Matching ok | SEQ : 20174866020, PART : N/A, SCAN N/A, CELL [1,4]
00:18:01:54 | I | Matching ok | SEQ : 20174866010, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:18:05:09 | I | Matching ok | SEQ : 20174866000, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:18:08:86 | I | Matching ok | SEQ : 20174866110, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:18:10:88 | I | Matching ok | SEQ : 20174866100, PART : N/A, SCAN N/A, CELL [2,2]
00:18:29:49 | I | Matching ok | SEQ : 20174866090, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:18:31:52 | I | Matching ok | SEQ : 20174866080, PART : N/A, SCAN N/A, CELL [2,4]
00:18:38:21 | I | Matching ok | SEQ : 20174866070, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:18:40:22 | I | Matching ok | SEQ : 20174866060, PART : N/A, SCAN N/A, CELL [2,6]
00:26:36:85 | I | Matching ok | SEQ : 20174866170, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:26:38:88 | I | Matching ok | SEQ : 20174866160, PART : N/A, SCAN N/A, CELL [1,2]
00:26:46:00 | I | Matching ok | SEQ : 20174866150, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:26:51:80 | I | Matching ok | SEQ : 20174866140, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:26:55:43 | I | Matching ok | SEQ : 20174866130, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:26:57:45 | I | Matching ok | SEQ : 20174866120, PART : N/A, SCAN N/A, CELL [1,6]
00:27:27:33 | I | Matching ok | SEQ : 20174866230, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:27:29:35 | I | Matching ok | SEQ : 20174866220, PART : N/A, SCAN N/A, CELL [2,2]
00:27:34:13 | I | Matching ok | SEQ : 20174866210, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:27:53:90 | I | Matching ok | SEQ : 20174866200, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:27:58:50 | I | Matching ok | SEQ : 20174866190, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:28:03:33 | I | Matching ok | SEQ : 20174866180, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:28:05:45 | I | Matching ok | SEQ : 20174866290, PART : N/A, SCAN N/A, CELL [1,1]
00:46:41:18 | I | Matching ok | SEQ : 20174866280, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:46:44:61 | W | Mismatching | SEQ : 20174866270, PART : 04578885AC, SCAN TQ42107C1134, CELL [1,3]
00:46:52:45 | I | Matching ok | SEQ : 20174866270, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:46:55:23 | I | Matching ok | SEQ : 20174866260, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:46:59:75 | I | Matching ok | SEQ : 20174866250, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:47:10:36 | I | Matching ok | SEQ : 20174866240, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:47:13:69 | I | Matching ok | SEQ : 20174866350, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:47:26:06 | I | Matching ok | SEQ : 20174866340, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:47:29:78 | I | Matching ok | SEQ : 20174866330, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:47:31:82 | I | Matching ok | SEQ : 20174866320, PART : N/A, SCAN N/A, CELL [2,4]
00:47:33:83 | I | Matching ok | SEQ : 20174866310, PART : N/A, SCAN N/A, CELL [2,5]
00:51:13:44 | I | Matching ok | SEQ : 20174866300, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:51:15:56 | I | Matching ok | SEQ : 20174866410, PART : N/A, SCAN N/A, CELL [1,1]
00:55:51:39 | I | Matching ok | SEQ : 20174866400, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:55:56:32 | I | Matching ok | SEQ : 20174866390, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:55:58:34 | I | Matching ok | SEQ : 20174866380, PART : N/A, SCAN N/A, CELL [1,4]
00:56:00:35 | I | Matching ok | SEQ : 20174866370, PART : N/A, SCAN N/A, CELL [1,5]
00:56:02:36 | I | Matching ok | SEQ : 20174866360, PART : N/A, SCAN N/A, CELL [1,6]
00:56:04:72 | I | Matching ok | SEQ : 20174866470, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:56:06:73 | I | Matching ok | SEQ : 20174866460, PART : N/A, SCAN N/A, CELL [2,2]
00:56:08:76 | I | Matching ok | SEQ : 20174866450, PART : N/A, SCAN N/A, CELL [2,3]
00:56:12:82 | I | Matching ok | SEQ : 20174866440, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:56:18:12 | I | Matching ok | SEQ : 20174866430, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:56:20:13 | I | Matching ok | SEQ : 20174866420, PART : N/A, SCAN N/A, CELL [2,6]
00:56:22:25 | I | Matching ok | SEQ : 20174866530, PART : N/A, SCAN N/A, CELL [1,1]
01:05:54:63 | I | Matching ok | SEQ : 20174866520, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:05:56:67 | I | Matching ok | SEQ : 20174866510, PART : N/A, SCAN N/A, CELL [1,3]
01:06:01:21 | I | Matching ok | SEQ : 20174866500, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:06:08:38 | I | Matching ok | SEQ : 20174866490, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
01:06:10:39 | I | Matching ok | SEQ : 20174866480, PART : N/A, SCAN N/A, CELL [1,6]
01:06:12:42 | I | Matching ok | SEQ : 20174866590, PART : N/A, SCAN N/A, CELL [2,1]
01:06:14:43 | I | Matching ok | SEQ : 20174866580, PART : N/A, SCAN N/A, CELL [2,2]
01:06:25:41 | I | Matching ok | SEQ : 20174866570, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:06:30:56 | I | Matching ok | SEQ : 20174866560, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
01:06:32:58 | I | Matching ok | SEQ : 20174866550, PART : N/A, SCAN N/A, CELL [2,5]
01:06:36:26 | I | Matching ok | SEQ : 20174866540, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
01:15:13:43 | I | Matching ok | SEQ : 20174866650, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:15:19:30 | I | Matching ok | SEQ : 20174866640, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
01:15:21:31 | I | Matching ok | SEQ : 20174866630, PART : N/A, SCAN N/A, CELL [1,3]
01:15:23:32 | I | Matching ok | SEQ : 20174866620, PART : N/A, SCAN N/A, CELL [1,4]
01:15:25:34 | I | Matching ok | SEQ : 20174866610, PART : N/A, SCAN N/A, CELL [1,5]
01:15:30:65 | I | Matching ok | SEQ : 20174866600, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
01:15:34:87 | I | Matching ok | SEQ : 20174866710, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:15:44:75 | I | Matching ok | SEQ : 20174866700, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:15:46:75 | I | Matching ok | SEQ : 20174866690, PART : N/A, SCAN N/A, CELL [2,3]
01:15:58:18 | I | Matching ok | SEQ : 20174866680, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
01:16:01:87 | I | Matching ok | SEQ : 20174866670, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
