06:13:16:21 | I | Matching ok | SEQ : 20174678970, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
06:13:18:31 | I | Matching ok | SEQ : 20174678960, PART : N/A, SCAN N/A, CELL [1,2]
06:13:23:39 | I | Matching ok | SEQ : 20174678950, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
06:13:26:08 | I | Matching ok | SEQ : 20174678940, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
06:13:30:46 | W | Mismatching | SEQ : 20174678930, PART : 04578885AC, SCAN P52124713AD, CELL [1,5]
06:13:35:92 | W | Mismatching | SEQ : 20174678930, PART : 04578885AC, SCAN P52124713AD, CELL [1,5]
06:13:46:83 | I | Matching ok | SEQ : 20174678930, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
06:13:51:63 | I | Matching ok | SEQ : 20174678920, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
06:13:54:31 | I | Matching ok | SEQ : 20174679030, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
06:13:56:33 | I | Matching ok | SEQ : 20174679020, PART : N/A, SCAN N/A, CELL [2,2]
06:13:59:09 | I | Matching ok | SEQ : 20174679010, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
06:14:02:14 | I | Matching ok | SEQ : 20174679000, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
06:14:04:79 | I | Matching ok | SEQ : 20174678990, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
06:14:07:94 | I | Matching ok | SEQ : 20174678980, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
06:14:10:18 | I | Matching ok | SEQ : 20174679090, PART : N/A, SCAN N/A, CELL [1,1]
06:23:13:45 | I | Matching ok | SEQ : 20174679080, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
06:23:15:48 | I | Matching ok | SEQ : 20174679070, PART : N/A, SCAN N/A, CELL [1,3]
06:23:19:25 | I | Matching ok | SEQ : 20174679060, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
06:23:23:35 | I | Matching ok | SEQ : 20174679050, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
06:23:25:73 | I | Matching ok | SEQ : 20174679040, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
06:23:28:80 | I | Matching ok | SEQ : 20174679150, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
06:23:30:83 | I | Matching ok | SEQ : 20174679140, PART : N/A, SCAN N/A, CELL [2,2]
06:23:32:73 | I | Matching ok | SEQ : 20174679130, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
06:23:34:63 | I | Matching ok | SEQ : 20174679120, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
06:23:36:85 | I | Matching ok | SEQ : 20174679110, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
06:23:38:78 | I | Matching ok | SEQ : 20174679100, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
06:32:17:39 | I | Matching ok | SEQ : 20174679210, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
06:32:22:07 | I | Matching ok | SEQ : 20174679200, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
