00:03:55:83 | I | Matching ok | SEQ : 20174841930, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:04:02:39 | I | Matching ok | SEQ : 20174841920, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:04:04:41 | I | Matching ok | SEQ : 20174841910, PART : N/A, SCAN N/A, CELL [1,3]
00:04:10:28 | I | Matching ok | SEQ : 20174841900, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:04:12:30 | I | Matching ok | SEQ : 20174841890, PART : N/A, SCAN N/A, CELL [1,5]
00:04:17:49 | I | Matching ok | SEQ : 20174841880, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:04:19:50 | I | Matching ok | SEQ : 20174841990, PART : N/A, SCAN N/A, CELL [2,1]
00:04:21:63 | I | Matching ok | SEQ : 20174841980, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:04:25:33 | I | Matching ok | SEQ : 20174841970, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:04:30:84 | I | Matching ok | SEQ : 20174841960, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:04:35:53 | I | Matching ok | SEQ : 20174841950, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:04:37:55 | I | Matching ok | SEQ : 20174841940, PART : N/A, SCAN N/A, CELL [2,6]
00:04:39:64 | I | Matching ok | SEQ : 20174842050, PART : N/A, SCAN N/A, CELL [1,1]
00:04:41:66 | I | Matching ok | SEQ : 20174842040, PART : N/A, SCAN N/A, CELL [1,2]
00:15:05:90 | I | Matching ok | SEQ : 20174842030, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:15:14:85 | I | Matching ok | SEQ : 20174842020, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:15:21:23 | I | Matching ok | SEQ : 20174842010, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:15:25:58 | I | Matching ok | SEQ : 20174842000, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:15:33:12 | I | Matching ok | SEQ : 20174842110, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
