00:09:02:28 | I | Matching ok | SEQ : 20174804010, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:09:07:71 | W | Mismatching | SEQ : 20174804000, PART : 52124713AD, SCAN TQ41997C0700, CELL [1,2]
00:09:15:83 | I | Matching ok | SEQ : 20174804000, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:09:21:33 | I | Matching ok | SEQ : 20174803990, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:09:27:11 | I | Matching ok | SEQ : 20174803980, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:09:31:68 | I | Matching ok | SEQ : 20174803970, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:09:35:51 | I | Matching ok | SEQ : 20174803960, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:09:37:53 | I | Matching ok | SEQ : 20174804070, PART : N/A, SCAN N/A, CELL [2,1]
00:09:42:01 | I | Matching ok | SEQ : 20174804060, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:09:47:13 | W | Mismatching | SEQ : 20174804050, PART : 52124713AD, SCAN P04578885AC, CELL [2,3]
00:10:07:18 | I | Matching ok | SEQ : 20174804050, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:10:09:78 | I | Matching ok | SEQ : 20174804040, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:10:12:53 | I | Matching ok | SEQ : 20174804030, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:10:14:33 | I | Matching ok | SEQ : 20174804020, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:20:12:07 | W | Mismatching | SEQ : 20174804130, PART : 04578885AC, SCAN TQ42027C0634, CELL [1,1]
00:20:15:65 | I | Matching ok | SEQ : 20174804130, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:20:17:66 | I | Matching ok | SEQ : 20174804120, PART : N/A, SCAN N/A, CELL [1,2]
00:20:22:12 | I | Matching ok | SEQ : 20174804110, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:20:24:15 | I | Matching ok | SEQ : 20174804100, PART : N/A, SCAN N/A, CELL [1,4]
