00:04:49:93 | I | Matching ok | SEQ : 20174646930, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:04:56:33 | I | Matching ok | SEQ : 20174646920, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:05:07:08 | I | Matching ok | SEQ : 20174646910, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:05:16:43 | I | Matching ok | SEQ : 20174646900, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:05:18:45 | I | Matching ok | SEQ : 20174646890, PART : N/A, SCAN N/A, CELL [1,5]
00:05:20:50 | I | Matching ok | SEQ : 20174646880, PART : N/A, SCAN N/A, CELL [1,6]
00:05:22:51 | I | Matching ok | SEQ : 20174646990, PART : N/A, SCAN N/A, CELL [2,1]
00:05:34:39 | I | Matching ok | SEQ : 20174646980, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
00:05:52:56 | I | Matching ok | SEQ : 20174646970, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:06:06:11 | I | Matching ok | SEQ : 20174646960, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:06:19:99 | I | Matching ok | SEQ : 20174646950, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:06:34:81 | I | Matching ok | SEQ : 20174646940, PART : 68193661AB, SCAN P68193661AB, CELL [2,6]
00:13:36:24 | I | Matching ok | SEQ : 20174647050, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:13:43:89 | I | Matching ok | SEQ : 20174647040, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
00:13:49:49 | I | Matching ok | SEQ : 20174647030, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:13:51:51 | I | Matching ok | SEQ : 20174647020, PART : N/A, SCAN N/A, CELL [1,4]
00:13:58:92 | I | Matching ok | SEQ : 20174647010, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:14:03:94 | I | Matching ok | SEQ : 20174647000, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:14:13:44 | I | Matching ok | SEQ : 20174647110, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:14:23:67 | I | Matching ok | SEQ : 20174647100, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
00:14:29:09 | I | Matching ok | SEQ : 20174647090, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:14:36:15 | I | Matching ok | SEQ : 20174647080, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:14:43:77 | I | Matching ok | SEQ : 20174647070, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:14:48:15 | I | Matching ok | SEQ : 20174647060, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:23:00:56 | I | Matching ok | SEQ : 20174647170, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:23:11:23 | I | Matching ok | SEQ : 20174647160, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:23:16:38 | I | Matching ok | SEQ : 20174647150, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:23:19:46 | W | Mismatching | SEQ : 20174647140, PART : 04578885AC, SCAN P52124713AD, CELL [1,4]
00:23:34:38 | I | Matching ok | SEQ : 20174647140, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:23:38:08 | I | Matching ok | SEQ : 20174647130, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:23:40:10 | I | Matching ok | SEQ : 20174647120, PART : N/A, SCAN N/A, CELL [1,6]
00:23:53:59 | I | Matching ok | SEQ : 20174647230, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:24:02:63 | I | Matching ok | SEQ : 20174647220, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:24:08:73 | I | Matching ok | SEQ : 20174647210, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:24:31:61 | I | Matching ok | SEQ : 20174647200, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
00:24:35:94 | I | Matching ok | SEQ : 20174647190, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:24:40:31 | I | Matching ok | SEQ : 20174647180, PART : 68193661AB, SCAN P68193661AB, CELL [2,6]
00:31:22:34 | I | Matching ok | SEQ : 20174647290, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
00:31:35:47 | I | Matching ok | SEQ : 20174647280, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
