00:03:32:00 | I | Matching ok | SEQ : 20174687970, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:03:34:47 | I | Matching ok | SEQ : 20174687960, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
00:03:36:49 | I | Matching ok | SEQ : 20174687950, PART : N/A, SCAN N/A, CELL [1,3]
00:03:39:35 | I | Matching ok | SEQ : 20174687940, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:03:43:20 | I | Matching ok | SEQ : 20174687930, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
00:03:45:25 | I | Matching ok | SEQ : 20174687920, PART : N/A, SCAN N/A, CELL [1,6]
00:03:51:60 | I | Matching ok | SEQ : 20174688030, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:03:55:02 | I | Matching ok | SEQ : 20174688020, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
00:03:57:07 | I | Matching ok | SEQ : 20174688010, PART : N/A, SCAN N/A, CELL [2,3]
00:03:59:12 | I | Matching ok | SEQ : 20174688000, PART : N/A, SCAN N/A, CELL [2,4]
00:04:03:18 | I | Matching ok | SEQ : 20174687990, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:04:06:72 | I | Matching ok | SEQ : 20174687980, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:04:08:91 | I | Matching ok | SEQ : 20174688090, PART : N/A, SCAN N/A, CELL [1,1]
00:04:10:97 | I | Matching ok | SEQ : 20174688080, PART : N/A, SCAN N/A, CELL [1,2]
00:04:13:02 | I | Matching ok | SEQ : 20174688070, PART : N/A, SCAN N/A, CELL [1,3]
00:15:46:02 | I | Matching ok | SEQ : 20174688060, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:15:49:62 | I | Matching ok | SEQ : 20174688050, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
00:15:53:27 | I | Matching ok | SEQ : 20174688040, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:15:57:54 | I | Matching ok | SEQ : 20174688150, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:16:01:04 | I | Matching ok | SEQ : 20174688140, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
00:16:04:74 | I | Matching ok | SEQ : 20174688130, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
00:16:06:77 | I | Matching ok | SEQ : 20174688120, PART : N/A, SCAN N/A, CELL [2,4]
00:16:10:47 | I | Matching ok | SEQ : 20174688110, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:16:12:49 | I | Matching ok | SEQ : 20174688100, PART : N/A, SCAN N/A, CELL [2,6]
00:27:59:94 | I | Matching ok | SEQ : 20174688210, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:28:05:36 | I | Matching ok | SEQ : 20174688200, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:28:07:40 | I | Matching ok | SEQ : 20174688190, PART : N/A, SCAN N/A, CELL [1,3]
00:28:19:56 | I | Matching ok | SEQ : 20174688180, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:28:21:58 | I | Matching ok | SEQ : 20174688170, PART : N/A, SCAN N/A, CELL [1,5]
00:28:26:79 | I | Matching ok | SEQ : 20174688160, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:29:00:79 | I | Matching ok | SEQ : 20174688270, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:29:05:49 | I | Matching ok | SEQ : 20174688260, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:29:09:09 | I | Matching ok | SEQ : 20174688250, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:29:15:56 | I | Matching ok | SEQ : 20174688240, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
