00:06:57:54 | I | Matching ok | SEQ : 20174722760, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:06:59:69 | I | Matching ok | SEQ : 20174722750, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:07:16:94 | I | Matching ok | SEQ : 20174722740, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:07:31:92 | I | Matching ok | SEQ : 20174722730, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:07:58:87 | I | Matching ok | SEQ : 20174722720, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:08:06:22 | I | Matching ok | SEQ : 20174722830, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:08:08:26 | I | Matching ok | SEQ : 20174722820, PART : N/A, SCAN N/A, CELL [2,2]
00:08:19:67 | I | Matching ok | SEQ : 20174722810, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:08:29:15 | I | Matching ok | SEQ : 20174722800, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:08:35:54 | I | Matching ok | SEQ : 20174722790, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:08:48:24 | I | Matching ok | SEQ : 20174722780, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:18:02:61 | I | Matching ok | SEQ : 20174722890, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:18:05:23 | I | Matching ok | SEQ : 20174722880, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:18:07:28 | I | Matching ok | SEQ : 20174722870, PART : N/A, SCAN N/A, CELL [1,3]
00:18:28:96 | I | Matching ok | SEQ : 20174722860, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:18:31:00 | I | Matching ok | SEQ : 20174722850, PART : N/A, SCAN N/A, CELL [1,5]
00:18:33:05 | I | Matching ok | SEQ : 20174722840, PART : N/A, SCAN N/A, CELL [1,6]
00:18:38:33 | I | Matching ok | SEQ : 20174722950, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:18:40:38 | I | Matching ok | SEQ : 20174722940, PART : N/A, SCAN N/A, CELL [2,2]
00:18:48:51 | I | Matching ok | SEQ : 20174722930, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:27:15:64 | I | Matching ok | SEQ : 20174722920, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:27:18:59 | I | Matching ok | SEQ : 20174722910, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:27:21:85 | I | Matching ok | SEQ : 20174722900, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:32:57:20 | I | Matching ok | SEQ : 20174723010, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:33:04:90 | I | Matching ok | SEQ : 20174723000, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:33:14:05 | I | Matching ok | SEQ : 20174722990, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:33:20:00 | I | Matching ok | SEQ : 20174722980, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:33:22:02 | I | Matching ok | SEQ : 20174722970, PART : N/A, SCAN N/A, CELL [1,5]
00:33:25:95 | I | Matching ok | SEQ : 20174722960, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:33:27:98 | I | Matching ok | SEQ : 20174723070, PART : N/A, SCAN N/A, CELL [2,1]
00:33:36:95 | I | Matching ok | SEQ : 20174723060, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:33:46:60 | I | Matching ok | SEQ : 20174723050, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:33:54:58 | I | Matching ok | SEQ : 20174723040, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:34:12:78 | I | Matching ok | SEQ : 20174723030, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:34:18:55 | I | Matching ok | SEQ : 20174723020, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:40:42:36 | I | Matching ok | SEQ : 20174723130, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:40:44:39 | I | Matching ok | SEQ : 20174723120, PART : N/A, SCAN N/A, CELL [1,2]
00:40:52:06 | I | Matching ok | SEQ : 20174723110, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:41:02:87 | I | Matching ok | SEQ : 20174723100, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:41:13:11 | I | Matching ok | SEQ : 20174723090, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:41:24:19 | I | Matching ok | SEQ : 20174723080, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:41:35:36 | I | Matching ok | SEQ : 20174723190, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:41:37:39 | I | Matching ok | SEQ : 20174723180, PART : N/A, SCAN N/A, CELL [2,2]
00:41:50:64 | I | Matching ok | SEQ : 20174723170, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:42:00:52 | I | Matching ok | SEQ : 20174723160, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:43:05:57 | I | Matching ok | SEQ : 20174723150, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:43:08:82 | I | Matching ok | SEQ : 20174723140, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:51:38:36 | I | Matching ok | SEQ : 20174723250, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:51:57:08 | I | Matching ok | SEQ : 20174723240, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:52:01:96 | I | Matching ok | SEQ : 20174723230, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:52:16:73 | I | Matching ok | SEQ : 20174723220, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:52:18:77 | I | Matching ok | SEQ : 20174723210, PART : N/A, SCAN N/A, CELL [1,5]
00:52:31:28 | I | Matching ok | SEQ : 20174723200, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:52:33:29 | I | Matching ok | SEQ : 20174723310, PART : N/A, SCAN N/A, CELL [2,1]
00:52:43:45 | I | Matching ok | SEQ : 20174723300, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:52:53:01 | I | Matching ok | SEQ : 20174723290, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:53:19:98 | I | Matching ok | SEQ : 20174723280, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:53:26:51 | I | Matching ok | SEQ : 20174723270, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:53:35:51 | I | Matching ok | SEQ : 20174723260, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
01:13:44:21 | I | Matching ok | SEQ : 20174723370, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
01:14:06:66 | I | Matching ok | SEQ : 20174723360, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
01:14:24:16 | I | Matching ok | SEQ : 20174723350, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
01:14:26:18 | I | Matching ok | SEQ : 20174723340, PART : N/A, SCAN N/A, CELL [1,4]
01:15:17:21 | I | Matching ok | SEQ : 20174723330, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
01:15:22:41 | I | Matching ok | SEQ : 20174723320, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
01:15:34:49 | I | Matching ok | SEQ : 20174723430, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
01:15:41:66 | I | Matching ok | SEQ : 20174723420, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
