00:14:39:49 | I | Matching ok | SEQ : 20174791890, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:14:43:16 | I | Matching ok | SEQ : 20174791880, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:14:46:01 | W | Mismatching | SEQ : 20174791870, PART : 04578885AC, SCAN P52124713AD, CELL [1,3]
00:14:56:31 | W | Mismatching | SEQ : 20174791870, PART : 04578885AC, SCAN P52124713AD, CELL [1,3]
00:16:00:59 | I | Matching ok | SEQ : 20174791870, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:16:04:39 | I | Matching ok | SEQ : 20174791860, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:16:19:09 | I | Matching ok | SEQ : 20174791850, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:16:21:11 | I | Matching ok | SEQ : 20174791840, PART : N/A, SCAN N/A, CELL [1,6]
00:16:36:92 | I | Matching ok | SEQ : 20174791950, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:16:38:94 | I | Matching ok | SEQ : 20174791940, PART : N/A, SCAN N/A, CELL [2,2]
00:16:40:95 | I | Matching ok | SEQ : 20174791930, PART : N/A, SCAN N/A, CELL [2,3]
00:16:46:34 | I | Matching ok | SEQ : 20174791920, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:16:48:36 | I | Matching ok | SEQ : 20174791910, PART : N/A, SCAN N/A, CELL [2,5]
00:16:53:66 | I | Matching ok | SEQ : 20174791900, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:26:06:56 | I | Matching ok | SEQ : 20174792010, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:26:24:20 | I | Matching ok | SEQ : 20174792000, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:26:27:83 | I | Matching ok | SEQ : 20174791990, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:26:42:30 | I | Matching ok | SEQ : 20174791980, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
