07:00:21:70 | I | Matching ok | SEQ : 20174626290, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
07:00:23:30 | I | Matching ok | SEQ : 20174626280, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
07:00:24:30 | I | Matching ok | SEQ : 20174626270, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
07:00:26:32 | I | Matching ok | SEQ : 20174626260, PART : N/A, SCAN N/A, CELL [1,4]
07:00:27:88 | I | Matching ok | SEQ : 20174626250, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
07:00:28:93 | I | Matching ok | SEQ : 20174626240, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
07:00:30:48 | I | Matching ok | SEQ : 20174626350, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
07:00:31:53 | I | Matching ok | SEQ : 20174626340, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
07:00:32:73 | I | Matching ok | SEQ : 20174626330, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
07:00:34:08 | I | Matching ok | SEQ : 20174626320, PART : 68193661AB, SCAN P68193661AB, CELL [2,4]
07:00:35:26 | I | Matching ok | SEQ : 20174626310, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
07:00:36:46 | I | Matching ok | SEQ : 20174626300, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
07:17:26:13 | I | Matching ok | SEQ : 20174626410, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
07:17:28:30 | I | Matching ok | SEQ : 20174626400, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
07:17:30:58 | I | Matching ok | SEQ : 20174626390, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
07:17:32:85 | I | Matching ok | SEQ : 20174626380, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
07:17:34:87 | I | Matching ok | SEQ : 20174626370, PART : N/A, SCAN N/A, CELL [1,5]
07:17:39:75 | I | Matching ok | SEQ : 20174626360, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
07:17:42:97 | I | Matching ok | SEQ : 20174626470, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
07:17:55:10 | I | Matching ok | SEQ : 20174626460, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
07:17:59:53 | I | Matching ok | SEQ : 20174626450, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
07:18:01:56 | I | Matching ok | SEQ : 20174626440, PART : N/A, SCAN N/A, CELL [2,4]
07:18:06:02 | I | Matching ok | SEQ : 20174626430, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
07:18:08:05 | I | Matching ok | SEQ : 20174626420, PART : N/A, SCAN N/A, CELL [2,6]
07:29:00:19 | I | Matching ok | SEQ : 20174626530, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
07:29:02:99 | I | Matching ok | SEQ : 20174626520, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
07:29:05:67 | I | Matching ok | SEQ : 20174626510, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
07:29:07:69 | I | Matching ok | SEQ : 20174626500, PART : N/A, SCAN N/A, CELL [1,4]
07:29:11:09 | I | Matching ok | SEQ : 20174626490, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
07:29:13:27 | I | Matching ok | SEQ : 20174626480, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
07:29:15:42 | I | Matching ok | SEQ : 20174626590, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
07:29:17:89 | I | Matching ok | SEQ : 20174626580, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
07:29:20:12 | I | Matching ok | SEQ : 20174626570, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
07:29:22:62 | I | Matching ok | SEQ : 20174626560, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
07:29:25:02 | I | Matching ok | SEQ : 20174626550, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
07:29:27:12 | I | Matching ok | SEQ : 20174626540, PART : 68193661AB, SCAN P68193661AB, CELL [2,6]
07:38:15:93 | I | Matching ok | SEQ : 20174626650, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
07:38:18:95 | I | Matching ok | SEQ : 20174626640, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
07:38:22:30 | I | Matching ok | SEQ : 20174626630, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
07:38:26:45 | I | Matching ok | SEQ : 20174626620, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
07:38:29:68 | I | Matching ok | SEQ : 20174626610, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
07:38:33:01 | I | Matching ok | SEQ : 20174626600, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
07:38:36:28 | I | Matching ok | SEQ : 20174626710, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
