00:00:02:84 | I | Matching ok | SEQ : 20174768350, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:00:09:69 | I | Matching ok | SEQ : 20174768340, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:00:12:44 | I | Matching ok | SEQ : 20174768330, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:00:17:34 | I | Matching ok | SEQ : 20174768320, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:00:21:82 | I | Matching ok | SEQ : 20174768430, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:00:23:82 | I | Matching ok | SEQ : 20174768420, PART : N/A, SCAN N/A, CELL [2,2]
00:00:25:83 | I | Matching ok | SEQ : 20174768410, PART : N/A, SCAN N/A, CELL [2,3]
00:00:30:32 | I | Matching ok | SEQ : 20174768400, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:00:32:33 | I | Matching ok | SEQ : 20174768390, PART : N/A, SCAN N/A, CELL [2,5]
00:00:35:10 | I | Matching ok | SEQ : 20174768380, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:12:49:31 | I | Matching ok | SEQ : 20174768490, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:12:52:81 | I | Matching ok | SEQ : 20174768480, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:12:57:18 | I | Matching ok | SEQ : 20174768470, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:13:00:61 | I | Matching ok | SEQ : 20174768460, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:13:04:91 | I | Matching ok | SEQ : 20174768450, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:13:08:41 | I | Matching ok | SEQ : 20174768440, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:13:11:88 | I | Matching ok | SEQ : 20174768550, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:13:13:90 | I | Matching ok | SEQ : 20174768540, PART : N/A, SCAN N/A, CELL [2,2]
00:13:21:29 | I | Matching ok | SEQ : 20174768530, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:13:24:76 | I | Matching ok | SEQ : 20174768520, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:13:28:16 | I | Matching ok | SEQ : 20174768510, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:13:31:51 | I | Matching ok | SEQ : 20174768500, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:21:39:45 | I | Matching ok | SEQ : 20174768610, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:21:41:47 | I | Matching ok | SEQ : 20174768600, PART : N/A, SCAN N/A, CELL [1,2]
00:21:45:07 | I | Matching ok | SEQ : 20174768590, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:21:47:10 | I | Matching ok | SEQ : 20174768580, PART : N/A, SCAN N/A, CELL [1,4]
00:21:50:75 | I | Matching ok | SEQ : 20174768570, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:21:54:30 | I | Matching ok | SEQ : 20174768560, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:21:57:45 | I | Matching ok | SEQ : 20174768670, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:21:59:46 | I | Matching ok | SEQ : 20174768660, PART : N/A, SCAN N/A, CELL [2,2]
00:22:03:00 | I | Matching ok | SEQ : 20174768650, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:22:05:01 | I | Matching ok | SEQ : 20174768640, PART : N/A, SCAN N/A, CELL [2,4]
00:22:08:17 | I | Matching ok | SEQ : 20174768630, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:22:12:77 | I | Matching ok | SEQ : 20174768620, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:31:45:84 | I | Matching ok | SEQ : 20174768730, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:31:50:51 | I | Matching ok | SEQ : 20174768720, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:31:53:96 | W | Mismatching | SEQ : 20174768710, PART : 52124713AD, SCAN TQ41887C0670, CELL [1,3]
00:32:04:24 | I | Matching ok | SEQ : 20174768710, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:32:06:25 | I | Matching ok | SEQ : 20174768700, PART : N/A, SCAN N/A, CELL [1,4]
00:33:24:79 | I | Matching ok | SEQ : 20174768690, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:33:28:06 | I | Matching ok | SEQ : 20174768680, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:33:31:94 | I | Matching ok | SEQ : 20174768790, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:33:35:04 | I | Matching ok | SEQ : 20174768780, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:33:39:21 | I | Matching ok | SEQ : 20174768770, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:33:42:74 | I | Matching ok | SEQ : 20174768760, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:33:46:12 | I | Matching ok | SEQ : 20174768750, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:33:51:94 | I | Matching ok | SEQ : 20174768740, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:45:24:43 | I | Matching ok | SEQ : 20174768850, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:45:30:10 | I | Matching ok | SEQ : 20174768840, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:45:32:14 | I | Matching ok | SEQ : 20174768830, PART : N/A, SCAN N/A, CELL [1,3]
00:45:36:01 | I | Matching ok | SEQ : 20174768820, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:45:39:96 | W | Mismatching | SEQ : 20174768810, PART : 04578885AC, SCAN P52124713AD, CELL [1,5]
00:45:53:56 | I | Matching ok | SEQ : 20174768810, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:45:58:56 | I | Matching ok | SEQ : 20174768800, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:46:04:01 | I | Matching ok | SEQ : 20174768910, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:46:06:46 | I | Matching ok | SEQ : 20174768900, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:46:08:47 | I | Matching ok | SEQ : 20174768890, PART : N/A, SCAN N/A, CELL [2,3]
00:46:13:96 | I | Matching ok | SEQ : 20174768880, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:46:25:31 | I | Matching ok | SEQ : 20174768870, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:46:30:63 | I | Matching ok | SEQ : 20174768860, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:00:45:93 | I | Matching ok | SEQ : 20174768970, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:00:49:15 | I | Matching ok | SEQ : 20174768960, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:00:51:83 | I | Matching ok | SEQ : 20174768950, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:00:54:60 | I | Matching ok | SEQ : 20174768940, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:00:57:85 | I | Matching ok | SEQ : 20174768930, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
01:01:00:71 | I | Matching ok | SEQ : 20174768920, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
01:01:03:45 | I | Matching ok | SEQ : 20174769030, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
01:01:06:23 | I | Matching ok | SEQ : 20174769020, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:01:09:58 | I | Matching ok | SEQ : 20174769010, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
01:01:11:80 | I | Matching ok | SEQ : 20174769000, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
01:01:15:13 | I | Matching ok | SEQ : 20174768990, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
01:01:17:61 | I | Matching ok | SEQ : 20174768980, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:01:19:72 | I | Matching ok | SEQ : 20174769090, PART : N/A, SCAN N/A, CELL [1,1]
01:13:28:34 | I | Matching ok | SEQ : 20174769080, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
01:13:30:37 | I | Matching ok | SEQ : 20174769070, PART : N/A, SCAN N/A, CELL [1,3]
01:13:33:92 | I | Matching ok | SEQ : 20174769060, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:13:38:97 | I | Matching ok | SEQ : 20174769050, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
01:13:40:99 | I | Matching ok | SEQ : 20174769040, PART : N/A, SCAN N/A, CELL [1,6]
01:13:44:32 | I | Matching ok | SEQ : 20174769150, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:13:50:27 | I | Matching ok | SEQ : 20174769140, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:13:53:50 | I | Matching ok | SEQ : 20174769130, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
01:13:56:78 | I | Matching ok | SEQ : 20174769120, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
01:13:58:79 | I | Matching ok | SEQ : 20174769110, PART : N/A, SCAN N/A, CELL [2,5]
01:14:02:20 | I | Matching ok | SEQ : 20174769100, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
01:27:27:72 | I | Matching ok | SEQ : 20174769210, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:27:32:34 | I | Matching ok | SEQ : 20174769200, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:27:36:82 | I | Matching ok | SEQ : 20174769190, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
01:27:38:84 | I | Matching ok | SEQ : 20174769180, PART : N/A, SCAN N/A, CELL [1,4]
01:27:44:39 | I | Matching ok | SEQ : 20174769170, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
01:27:47:54 | I | Matching ok | SEQ : 20174769160, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
01:27:50:67 | I | Matching ok | SEQ : 20174769270, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
01:27:53:14 | W | Mismatching | SEQ : 20174769260, PART : 52124713AD, SCAN P04578885AC, CELL [2,2]
01:27:57:40 | W | Mismatching | SEQ : 20174769260, PART : 52124713AD, SCAN P04578885AC, CELL [2,2]
