00:05:59:83 | I | Matching ok | SEQ : 20174813970, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:06:20:51 | I | Matching ok | SEQ : 20174813960, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:06:32:93 | I | Matching ok | SEQ : 20174813950, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:06:34:95 | I | Matching ok | SEQ : 20174813940, PART : N/A, SCAN N/A, CELL [1,4]
00:06:48:31 | I | Matching ok | SEQ : 20174813930, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:06:50:63 | I | Matching ok | SEQ : 20174813920, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:07:01:21 | I | Matching ok | SEQ : 20174814030, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:07:08:58 | I | Matching ok | SEQ : 20174814020, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:07:17:63 | I | Matching ok | SEQ : 20174814010, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:07:20:73 | I | Matching ok | SEQ : 20174814000, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:07:26:48 | I | Matching ok | SEQ : 20174813990, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:12:37:24 | I | Matching ok | SEQ : 20174813980, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:22:53:13 | I | Matching ok | SEQ : 20174814090, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:22:57:01 | I | Matching ok | SEQ : 20174814080, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:23:00:53 | I | Matching ok | SEQ : 20174814070, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:23:02:54 | I | Matching ok | SEQ : 20174814060, PART : N/A, SCAN N/A, CELL [1,4]
00:23:07:43 | I | Matching ok | SEQ : 20174814050, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:23:22:86 | W | Mismatching | SEQ : 20174814040, PART : 52124713AD, SCAN P04578885AC, CELL [1,6]
00:23:34:26 | I | Matching ok | SEQ : 20174814040, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:23:37:91 | I | Matching ok | SEQ : 20174814150, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
