08:30:11:90 | I | Matching ok | SEQ : 20174748210, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
08:30:14:90 | I | Matching ok | SEQ : 20174748200, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
08:30:18:25 | I | Matching ok | SEQ : 20174748190, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
08:30:21:83 | I | Matching ok | SEQ : 20174748180, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
08:30:25:40 | I | Matching ok | SEQ : 20174748170, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
08:30:28:48 | I | Matching ok | SEQ : 20174748160, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
08:30:33:83 | I | Matching ok | SEQ : 20174748270, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
08:30:37:53 | I | Matching ok | SEQ : 20174748260, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
08:30:41:41 | I | Matching ok | SEQ : 20174748250, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
08:30:45:01 | I | Matching ok | SEQ : 20174748240, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
08:30:48:15 | I | Matching ok | SEQ : 20174748230, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
08:30:52:26 | I | Matching ok | SEQ : 20174748220, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
08:38:36:54 | I | Matching ok | SEQ : 20174748330, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
08:38:39:54 | I | Matching ok | SEQ : 20174748320, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
08:38:42:81 | I | Matching ok | SEQ : 20174748310, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
08:38:46:84 | I | Matching ok | SEQ : 20174748300, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
08:38:50:14 | I | Matching ok | SEQ : 20174748290, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
08:38:53:44 | I | Matching ok | SEQ : 20174748280, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
08:38:57:14 | I | Matching ok | SEQ : 20174748390, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
08:39:00:89 | I | Matching ok | SEQ : 20174748380, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
08:39:04:59 | I | Matching ok | SEQ : 20174748370, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
08:39:08:14 | I | Matching ok | SEQ : 20174748360, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
08:39:11:84 | I | Matching ok | SEQ : 20174748350, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
08:39:16:44 | I | Matching ok | SEQ : 20174748340, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
08:59:10:64 | I | Matching ok | SEQ : 20174748450, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
08:59:13:57 | I | Matching ok | SEQ : 20174748440, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
08:59:16:54 | I | Matching ok | SEQ : 20174748430, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
08:59:19:50 | I | Matching ok | SEQ : 20174748420, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
08:59:24:54 | I | Matching ok | SEQ : 20174748410, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
08:59:28:82 | I | Matching ok | SEQ : 20174748400, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
08:59:32:54 | I | Matching ok | SEQ : 20174748510, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
08:59:36:27 | I | Matching ok | SEQ : 20174748500, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
08:59:39:47 | I | Matching ok | SEQ : 20174748490, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
08:59:42:87 | I | Matching ok | SEQ : 20174748480, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
08:59:46:47 | I | Matching ok | SEQ : 20174748470, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
08:59:50:09 | I | Matching ok | SEQ : 20174748460, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
10:01:58:96 | I | Matching ok | SEQ : 20174748570, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
10:02:01:91 | I | Matching ok | SEQ : 20174748560, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
10:02:05:29 | I | Matching ok | SEQ : 20174748550, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
10:02:08:96 | I | Matching ok | SEQ : 20174748540, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
10:02:12:39 | I | Matching ok | SEQ : 20174748530, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
10:02:15:89 | I | Matching ok | SEQ : 20174748520, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
10:02:19:59 | I | Matching ok | SEQ : 20174748630, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
10:02:22:99 | I | Matching ok | SEQ : 20174748620, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
10:02:26:11 | I | Matching ok | SEQ : 20174748610, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
10:02:29:41 | I | Matching ok | SEQ : 20174748600, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
10:02:32:61 | I | Matching ok | SEQ : 20174748590, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
10:02:35:99 | I | Matching ok | SEQ : 20174748580, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
10:53:17:21 | I | Matching ok | SEQ : 20174748690, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
10:53:20:74 | I | Matching ok | SEQ : 20174748680, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
10:53:24:21 | I | Matching ok | SEQ : 20174748670, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
10:53:27:66 | I | Matching ok | SEQ : 20174748660, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
10:53:31:04 | I | Matching ok | SEQ : 20174748650, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
10:53:34:83 | I | Matching ok | SEQ : 20174748640, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
10:53:38:49 | I | Matching ok | SEQ : 20174748750, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
10:54:27:14 | I | Matching ok | SEQ : 20174748740, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
10:54:30:46 | I | Matching ok | SEQ : 20174748730, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
10:54:33:41 | I | Matching ok | SEQ : 20174748720, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
10:54:37:71 | I | Matching ok | SEQ : 20174748710, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
10:54:40:89 | I | Matching ok | SEQ : 20174748700, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
