00:01:54:32 | I | Matching ok | SEQ : 20174698290, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:01:56:41 | I | Matching ok | SEQ : 20174698280, PART : N/A, SCAN N/A, CELL [1,2]
00:01:58:45 | I | Matching ok | SEQ : 20174698270, PART : N/A, SCAN N/A, CELL [1,3]
00:02:00:92 | I | Matching ok | SEQ : 20174698260, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:02:05:85 | I | Matching ok | SEQ : 20174698250, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:02:10:90 | I | Matching ok | SEQ : 20174698240, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
00:02:12:94 | I | Matching ok | SEQ : 20174698350, PART : N/A, SCAN N/A, CELL [2,1]
00:02:17:00 | I | Matching ok | SEQ : 20174698340, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
00:02:20:85 | I | Matching ok | SEQ : 20174698330, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:02:22:89 | I | Matching ok | SEQ : 20174698320, PART : N/A, SCAN N/A, CELL [2,4]
00:02:24:97 | I | Matching ok | SEQ : 20174698310, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:02:30:75 | I | Matching ok | SEQ : 20174698300, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:11:21:68 | I | Matching ok | SEQ : 20174698410, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:11:23:77 | I | Matching ok | SEQ : 20174698400, PART : N/A, SCAN N/A, CELL [1,2]
00:11:27:36 | I | Matching ok | SEQ : 20174698390, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:11:31:19 | I | Matching ok | SEQ : 20174698380, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:11:35:46 | I | Matching ok | SEQ : 20174698370, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:11:39:43 | I | Matching ok | SEQ : 20174698360, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
00:11:41:49 | I | Matching ok | SEQ : 20174698470, PART : N/A, SCAN N/A, CELL [2,1]
00:11:44:81 | I | Matching ok | SEQ : 20174698460, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:11:49:14 | I | Matching ok | SEQ : 20174698450, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:11:51:19 | I | Matching ok | SEQ : 20174698440, PART : N/A, SCAN N/A, CELL [2,4]
00:11:53:25 | I | Matching ok | SEQ : 20174698430, PART : N/A, SCAN N/A, CELL [2,5]
00:11:59:89 | I | Matching ok | SEQ : 20174698420, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:12:02:06 | I | Matching ok | SEQ : 20174698530, PART : N/A, SCAN N/A, CELL [1,1]
00:12:04:11 | I | Matching ok | SEQ : 20174698520, PART : N/A, SCAN N/A, CELL [1,2]
00:12:06:17 | I | Matching ok | SEQ : 20174698510, PART : N/A, SCAN N/A, CELL [1,3]
00:27:58:26 | I | Matching ok | SEQ : 20174698500, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:28:01:21 | I | Matching ok | SEQ : 20174698490, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:28:04:88 | I | Matching ok | SEQ : 20174698480, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:28:08:76 | I | Matching ok | SEQ : 20174698590, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:28:12:91 | I | Matching ok | SEQ : 20174698580, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:28:33:76 | I | Matching ok | SEQ : 20174698570, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:28:35:78 | I | Matching ok | SEQ : 20174698560, PART : N/A, SCAN N/A, CELL [2,4]
00:28:41:01 | I | Matching ok | SEQ : 20174698550, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:28:44:96 | I | Matching ok | SEQ : 20174698540, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:41:00:10 | I | Matching ok | SEQ : 20174698650, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:41:02:12 | I | Matching ok | SEQ : 20174698640, PART : N/A, SCAN N/A, CELL [1,2]
00:41:06:53 | W | Mismatching | SEQ : 20174698630, PART : 04578885AC, SCAN P68193661AB, CELL [1,3]
00:41:22:70 | I | Matching ok | SEQ : 20174698630, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:41:27:20 | I | Matching ok | SEQ : 20174698620, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
00:41:31:68 | I | Matching ok | SEQ : 20174698610, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:41:36:05 | I | Matching ok | SEQ : 20174698600, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:41:39:98 | I | Matching ok | SEQ : 20174698710, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:41:43:25 | I | Matching ok | SEQ : 20174698700, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:41:45:30 | I | Matching ok | SEQ : 20174698690, PART : N/A, SCAN N/A, CELL [2,3]
00:41:49:08 | I | Matching ok | SEQ : 20174698680, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:41:51:65 | I | Matching ok | SEQ : 20174698670, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:41:53:76 | I | Matching ok | SEQ : 20174698660, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:53:36:25 | I | Matching ok | SEQ : 20174698770, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:53:38:70 | I | Matching ok | SEQ : 20174698760, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:53:40:75 | I | Matching ok | SEQ : 20174698750, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:53:42:87 | I | Matching ok | SEQ : 20174698740, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:53:44:88 | I | Matching ok | SEQ : 20174698730, PART : N/A, SCAN N/A, CELL [1,5]
00:53:46:17 | I | Matching ok | SEQ : 20174698720, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:53:48:19 | I | Matching ok | SEQ : 20174698830, PART : N/A, SCAN N/A, CELL [2,1]
